,metro_area/city
0,"aberdeen, sd"
1,"aberdeen, wa"
2,"abilene, tx"
3,"ada, ok"
4,"adrian, mi"
5,"akron, oh"
6,"alamogordo, nm"
7,"albany, ga"
8,"albany, or"
9,"albany-schenectady-troy, ny"
10,"albemarle, nc"
11,"albert lea, mn"
12,"albertville, al"
13,"albuquerque, nm"
14,"alexandria, la"
15,"alexandria, mn"
16,"alice, tx"
17,"allentown-bethlehem-easton, pa-nj"
18,"alma, mi"
19,"alpena, mi"
20,"altoona, pa"
21,"altus, ok"
22,"amarillo, tx"
23,"americus, ga"
24,"ames, ia"
25,"amsterdam, ny"
26,"anchorage, ak"
27,"andrews, tx"
28,"angola, in"
29,"ann arbor, mi"
30,"anniston-oxford-jacksonville, al"
31,"appleton, wi"
32,"arcadia, fl"
33,"ardmore, ok"
34,"arkadelphia, ar"
35,"arkansas city-winfield, ks"
36,"asheville, nc"
37,"ashland, oh"
38,"ashtabula, oh"
39,"astoria, or"
40,"atchison, ks"
41,"athens, oh"
42,"athens, tn"
43,"athens, tx"
44,"athens-clarke county, ga"
45,"atlanta-sandy springs-roswell, ga"
46,"atlantic city-hammonton, nj"
47,"auburn, in"
48,"auburn, ny"
49,"auburn-opelika, al"
50,"augusta-richmond county, ga-sc"
51,"augusta-waterville, me"
52,"austin, mn"
53,"austin-round rock, tx"
54,"bainbridge, ga"
55,"bakersfield, ca"
56,"baltimore-columbia-towson, md"
57,"bangor, me"
58,"baraboo, wi"
59,"bardstown, ky"
60,"barnstable town, ma"
61,"barre, vt"
62,"bartlesville, ok"
63,"bastrop, la"
64,"batavia, ny"
65,"batesville, ar"
66,"baton rouge, la"
67,"battle creek, mi"
68,"bay city, mi"
69,"bay city, tx"
70,"beatrice, ne"
71,"beaumont-port arthur, tx"
72,"beaver dam, wi"
73,"beckley, wv"
74,"bedford, in"
75,"beeville, tx"
76,"bellefontaine, oh"
77,"bellingham, wa"
78,"bemidji, mn"
79,"bend-redmond, or"
80,"bennettsville, sc"
81,"bennington, vt"
82,"berlin, nh-vt"
83,"big rapids, mi"
84,"big spring, tx"
85,"big stone gap, va"
86,"billings, mt"
87,"binghamton, ny"
88,"birmingham-hoover, al"
89,"bismarck, nd"
90,"blackfoot, id"
91,"blacksburg-christiansburg-radford, va"
92,"bloomington, il"
93,"bloomington, in"
94,"bloomsburg-berwick, pa"
95,"bluefield, wv-va"
96,"blytheville, ar"
97,"bogalusa, la"
98,"boise city, id"
99,"boone, ia"
100,"boone, nc"
101,"borger, tx"
102,"boston-cambridge-newton, ma-nh"
103,"boulder, co"
104,"bowling green, ky"
105,"bozeman, mt"
106,"bradford, pa"
107,"brainerd, mn"
108,"branson, mo"
109,"breckenridge, co"
110,"bremerton-silverdale, wa"
111,"brenham, tx"
112,"brevard, nc"
113,"bridgeport-stamford-norwalk, ct"
114,"brookhaven, ms"
115,"brookings, or"
116,"brookings, sd"
117,"brownsville-harlingen, tx"
118,"brownwood, tx"
119,"brunswick, ga"
120,"bucyrus, oh"
121,"buffalo-cheektowaga-niagara falls, ny"
122,"burley, id"
123,"burlington, ia-il"
124,"burlington, nc"
125,"burlington-south burlington, vt"
126,"butte-silver bow, mt"
127,"cadillac, mi"
128,"calhoun, ga"
129,"california-lexington park, md"
130,"cambridge, md"
131,"cambridge, oh"
132,"camden, ar"
133,"campbellsville, ky"
134,"canton, il"
135,"canton-massillon, oh"
136,"cape coral-fort myers, fl"
137,"cape girardeau, mo-il"
138,"carbondale-marion, il"
139,"carlsbad-artesia, nm"
140,"carson city, nv"
141,"casper, wy"
142,"cañon city, co"
143,"cedar city, ut"
144,"cedar rapids, ia"
145,"cedartown, ga"
146,"celina, oh"
147,"centralia, il"
148,"centralia, wa"
149,"chambersburg-waynesboro, pa"
150,"champaign-urbana, il"
151,"charleston, wv"
152,"charleston-mattoon, il"
153,"charleston-north charleston, sc"
154,"charlotte-concord-gastonia, nc-sc"
155,"charlottesville, va"
156,"chattanooga, tn-ga"
157,"cheyenne, wy"
158,"chicago-naperville-elgin, il-in-wi"
159,"chico, ca"
160,"chillicothe, oh"
161,"cincinnati, oh-ky-in"
162,"claremont-lebanon, nh-vt"
163,"clarksburg, wv"
164,"clarksdale, ms"
165,"clarksville, tn-ky"
166,"clearlake, ca"
